arm,horizon,start_year,n_names,median_peak_multiple,n_ge_2x,share_ge_2x,n_ge_3x,share_ge_3x,n_ge_5x,share_ge_5x,n_ge_10x,share_ge_10x
A_best_month_in_year,3y,2009,531,2.647,411,0.774,206,0.3879,80,0.1507,17,0.032
A_best_month_in_year,3y,2010,543,2.132,329,0.6059,78,0.1436,19,0.035,3,0.0055
A_best_month_in_year,3y,2011,552,2.221,366,0.663,120,0.2174,35,0.0634,5,0.0091
A_best_month_in_year,3y,2012,566,2.185,347,0.6131,118,0.2085,29,0.0512,7,0.0124
A_best_month_in_year,3y,2013,579,1.867,235,0.4059,65,0.1123,15,0.0259,5,0.0086
A_best_month_in_year,3y,2014,591,1.75,185,0.313,45,0.0761,9,0.0152,4,0.0068
A_best_month_in_year,3y,2015,605,1.948,282,0.4661,78,0.1289,26,0.043,7,0.0116
A_best_month_in_year,3y,2016,618,2.073,343,0.555,100,0.1618,31,0.0502,10,0.0162
A_best_month_in_year,3y,2017,624,1.815,244,0.391,83,0.133,33,0.0529,14,0.0224
A_best_month_in_year,3y,2018,637,2.132,355,0.5573,142,0.2229,55,0.0863,24,0.0377
A_best_month_in_year,3y,2019,650,2.151,376,0.5785,157,0.2415,59,0.0908,19,0.0292
A_best_month_in_year,3y,2020,668,2.478,499,0.747,237,0.3548,93,0.1392,33,0.0494
A_best_month_in_year,3y,2021,692,1.731,255,0.3685,88,0.1272,22,0.0318,4,0.0058
A_best_month_in_year,3y,2022,695,2.033,358,0.5151,175,0.2518,78,0.1122,30,0.0432
A_best_month_in_year,3y,2023,699,2.011,352,0.5036,166,0.2375,100,0.1431,40,0.0572
A_best_month_in_year,5y,2009,531,3.72,486,0.9153,363,0.6836,172,0.3239,43,0.081
