symbol,report_date,time,name,fiscal_quarter_ending
AAPL,2023-02-02,time-not-supplied,Apple Inc.,2022-12-31
AAPL,2023-05-04,time-not-supplied,Apple Inc.,2023-03-31
AAPL,2023-08-03,time-not-supplied,Apple Inc.,2023-06-30
AAPL,2023-11-02,time-not-supplied,Apple Inc.,2023-09-30
AAPL,2024-02-01,time-not-supplied,Apple Inc.,2023-12-31
AAPL,2024-05-02,time-not-supplied,Apple Inc.,2024-03-31
AAPL,2024-08-01,time-not-supplied,Apple Inc.,2024-06-30
AAPL,2024-10-31,time-not-supplied,Apple Inc.,2024-09-30
AAPL,2025-01-30,time-not-supplied,Apple Inc.,2024-12-31
AAPL,2025-05-01,time-not-supplied,Apple Inc.,2025-03-31
AAPL,2025-07-31,time-not-supplied,Apple Inc.,2025-06-30
AAPL,2025-10-30,time-not-supplied,Apple Inc.,2025-09-30
AAPL,2026-01-29,time-not-supplied,Apple Inc.,2025-12-31
AAPL,2026-04-30,time-not-supplied,Apple Inc.,2026-03-31
AAPL,2026-07-30,time-after-hours,Apple Inc.,2026-06-30
